"Key","en","hi","bn","gu","ml","mr","ta","te","ur"
"N/A","English","Hindi","Bengali","Gujarati","Malayalam","Marathi","Tamil","Telugu","Urdu"
"default-account-name","Bank","बैंक","ব্যাংক","બેંક","ബാങ്ക്","बँक","வங்கி","బ్యాంక్","بینک"
"default-budget-name","Budget","बजट","বাজেট","બજેટ","വരവ്ചെലവ് മതിപ്പ്","अर्थसंकल्प","பட்ஜெட்","బడ్జెట్","بجٹ"
"budget-history","Budget History","बजट इतिहास","বাজেটের ইতিহাস","બજેટ ઇતિહાસ","ബജറ്റ് ചരിത്രം","बजेट इतिहास","பட்ஜெட் வரலாறு","బడ్జెట్ చరిత్ర","بجٹ کی تاریخ"
"home","Home","मुख पृष्ठ ","বাড়ি","મુખપૃષ્ઠ","വീട്","मुख्यपृष्ठ","வீடு","హోమ్","گھر"
"transactions","Transactions","लेन-देन","লেনদেন","લેવડ-દેવડ","ഇടപാടുകൾ","व्यवहार","பரிவர்த்தனைகள்","లావాదేవీలు","لین دین"
"budgets","Budgets","बजट","বাজেট","બજેટો","ബജറ്റുകൾ","अर्थसंकल्प","பட்ஜெட்டுகள்","బడ్జెట్లు","بجٹ"
"more-actions","More Actions","अधिक विकल्प ","আরও কাজ","વધુ ક્રિયાઓ","കൂടുതൽ പ്രവർത്തനങ്ങൾ","अधिक क्रिया","மேலும் செயல்கள்","మరిన్ని చర్యలు","مزید اقدامات"
"subscriptions","Subscriptions","सदस्यता","সাবস্ক্রিপশন","લવાજમ","സബ്സ്ക്രിപ്ഷനുകൾ","सदस्यता","சந்தாக்கள்","చందాలు","سبسکرپشنز"
"notifications","Notifications","अधिसूचना","বিজ্ঞপ্তি","સૂચનાઓ","അറിയിപ്പുകൾ","अधिसूचना","அறிவிப்புகள்","నోటిఫికేషన్‌లు","اطلاعات"
"edit-account","Edit Account","खाता संपादित करें","অ্যাকাউন্ট সম্পাদনা করুন","ખાતું સંપાદિત કરો","അക്കൗണ്ട് എഡിറ്റുചെയ്യുക","खाते संपादित करा","கணக்கைத் திருத்து","ఖాతాను సవరించండి","اکاؤنٹ میں ترمیم کریں"
"accounts","Accounts","हिसाब किताब","অ্যাকাউন্ট","ખાતા","അക്കൗണ്ടുകൾ","लेखा","கணக்குகள்","ఖాతాలు","اکاؤنٹس"
